TOA5	Carl_WS	CR1000	17273	CR1000.Std.15	CPU:COBS_SW8Aport5.cr1	27157	Daily																				
TIMESTAMP	RECORD	Batt_Volt_Min	PTemp_C_Max	PTemp_C_Min	Rain_in_Tot	SlrW_Avg	SlrW_Max	SlrW_TMx	SlrMJ_Tot	AirTF_Max	AirTF_TMx	AirTF_Min	AirTF_TMn	AirTF_Avg	RH_Max	RH_TMx	RH_Min	RH_TMn	WS_mph_Max	WS_mph_TMx	WS_mph_S_WVT	WindDir_D1_WVT	T107_F_Max	T107_F_TMx	T107_F_Min	T107_F_TMn	T107_F_Avg
TS	RN	Volts	Deg C	Deg C	inch	W/m�	W/m�	W/m�	MJ/m�	Deg F	Deg F	Deg F	Deg F	Deg F	%	%	%	%	miles/hour	miles/hour	miles/hour	Deg	Deg F	Deg F	Deg F	Deg F	Deg F
		Min	Max	Min	Tot	Avg	Max	TMx	Tot	Max	TMx	Min	TMn	Avg	Max	TMx	Min	TMn	Max	TMx	WVc	WVc	Max	TMx	Min	TMn	Avg
8/23/2016 0:00	174	11.74	29.92	13.14	0	269.4	832	8/22/2016 12:23	23.27754	80.8	8/22/2016 15:02	55.68	8/22/2016 5:24	68.13	100	8/22/2016 5:23	42.9	8/22/2016 14:24	21.02	8/22/2016 11:26	5.941	167.4	71.49	8/22/2016 20:22	69.33	8/22/2016 10:24	70.5
8/24/2016 0:00	175	11.81	30.09	17.79	0	192.3	1219	8/23/2016 11:37	16.6164	81.4	8/23/2016 12:38	64.14	8/23/2016 4:40	72.94	96.7	8/23/2016 23:59	59.37	8/23/2016 11:48	19.2	8/23/2016 13:24	8.18	163.2	71.81	8/23/2016 22:41	69.76	8/23/2016 9:45	70.8
8/25/2016 0:00	176	11.82	30.4	18.71	0.1	147.3	810	8/24/2016 12:30	12.72725	81.8	8/24/2016 15:05	64.55	8/24/2016 5:26	72.3	100	8/24/2016 0:41	68.3	8/24/2016 15:06	24.05	8/24/2016 1:47	4.676	267.6	72.81	8/24/2016 19:52	71.35	8/24/2016 10:11	71.98
8/26/2016 0:00	177	11.67	27.94	14.95	0	135.5	824	8/25/2016 15:01	11.70843	76.56	8/25/2016 15:04	58.53	8/25/2016 5:50	67.31	116.3	8/25/2016 22:52	51.15	8/25/2016 15:01	6.729	8/25/2016 8:34	1.733	341.5	72.58	8/25/2016 0:03	70.99	8/25/2016 13:07	71.53
8/27/2016 0:00	178	11.66	24.13	12.93	0.15	98.8	886	8/26/2016 12:36	8.533248	71.17	8/26/2016 12:55	54.83	8/26/2016 5:25	62.54	117	8/26/2016 6:26	68.46	8/26/2016 13:15	14.01	8/26/2016 19:44	5.008	62.07	71.05	8/26/2016 0:01	68.89	8/26/2016 23:54	69.49
8/28/2016 0:00	179	11.43	28.43	16.36	0	139.8	1248	8/27/2016 13:19	12.07585	78.25	8/27/2016 17:06	59.69	8/27/2016 2:27	66.9	117	8/27/2016 23:54	65.6	8/27/2016 15:20	12.21	8/27/2016 0:49	2.946	75.08	69.62	8/27/2016 21:31	67.99	8/27/2016 10:22	68.7
8/29/2016 0:00	180	11.57	34.31	16.74	23	223.9	965	8/28/2016 12:32	19.3437	87.1	8/28/2016 13:45	59.99	8/28/2016 5:49	72.95	117.3	8/28/2016 4:02	56.05	8/28/2016 13:44	14.99	8/28/2016 18:05	3.147	113.8	71.77	8/28/2016 21:40	68.54	8/28/2016 9:06	69.94
8/30/2016 0:00	181	11.72	33.85	19.52	0.09	135.5	1134	8/29/2016 12:08	11.71109	85	8/29/2016 13:38	67.04	8/29/2016 3:39	71.7	117	8/29/2016 22:13	61.09	8/29/2016 15:33	19.66	8/29/2016 15:52	2.888	119	72.04	8/29/2016 19:05	70.8	8/29/2016 10:06	71.38
8/31/2016 0:00	182	11.45	28.27	17.64	0	127.8	887	8/30/2016 11:07	11.04151	78.44	8/30/2016 15:38	-144	8/30/2016 23:58	71.17	117.2	8/30/2016 6:00	68.57	8/30/2016 13:17	12.78	8/30/2016 9:50	2.926	337.2	72.01	8/30/2016 20:42	70.95	8/30/2016 9:23	71.47
9/1/2016 0:00	183	11.42	29.08	13.05	?	256.1	819	8/31/2016 12:14	22.1229	78.68	8/31/2016 14:29	55.01	8/31/2016 23:59	66.68	117	8/31/2016 0:35	42.66	8/31/2016 12:15	12.82	8/31/2016 15:40	3.988	15.06	71.8	8/31/2016 0:16	70.1	8/31/2016 10:27	70.88
